,DATE,Production,Country
0,2016-08-01,103.179623772266,Greece
1,2016-09-01,101.781255202264,Greece
2,2016-10-01,105.776593973697,Greece
3,2016-11-01,104.977526219411,Greece
4,2016-12-01,106.975195605127,Greece
5,2017-01-01,106.975195605127,Greece
6,2017-02-01,108.673214582986,Greece
7,2017-03-01,107.574496420842,Greece
8,2017-04-01,103.07974030298,Greece
9,2017-05-01,107.274846012985,Greece
10,2017-06-01,106.975195605127,Greece
11,2017-07-01,105.576827035126,Greece
12,2017-08-01,108.773098052272,Greece
13,2017-09-01,104.27834193441,Greece
14,2017-10-01,107.8741468287,Greece
15,2017-11-01,106.575661727984,Greece
16,2017-12-01,108.173797236557,Greece
17,2018-01-01,107.374729482271,Greece
18,2018-02-01,107.8741468287,Greece
19,2018-03-01,108.573331113701,Greece
20,2018-04-01,106.276011320126,Greece
21,2018-05-01,108.473447644415,Greece
22,2018-06-01,108.673214582986,Greece
23,2018-07-01,109.372398867987,Greece
24,2018-08-01,109.07274846013,Greece
25,2018-09-01,108.073913767271,Greece
26,2018-10-01,108.373564175129,Greece
27,2018-11-01,112.66855335442,Greece
28,2018-12-01,110.670883968703,Greece
29,2019-01-01,110.770767437989,Greece
30,2019-02-01,109.871816214416,Greece
31,2019-03-01,107.674379890128,Greece
32,2019-04-01,109.07274846013,Greece
33,2019-05-01,108.173797236557,Greece
34,2019-06-01,108.273680705843,Greece
35,2019-07-01,106.575661727984,Greece
36,2019-08-01,108.872981521558,Greece
37,2019-09-01,109.672049275845,Greece
38,2019-10-01,107.774263359414,Greece
39,2019-11-01,101.88113867155,Greece
40,2019-12-01,106.076244381555,Greece
41,2020-01-01,110.670883968703,Greece
42,2020-02-01,106.775428666556,Greece
43,2020-03-01,107.774263359414,Greece
44,2020-04-01,97.3863825536873,Greece
45,2020-05-01,99.5838188779756,Greece
46,2020-06-01,103.07974030298,Greece
47,2020-07-01,106.375894789412,Greece
48,2020-08-01,104.977526219411,Greece
49,2020-09-01,107.075079074413,Greece
50,2020-10-01,104.27834193441,Greece
51,2020-11-01,110.970534376561,Greece
52,2020-12-01,110.870650907275,Greece
53,2021-01-01,114.466455801565,Greece
54,2021-02-01,111.569835192276,Greece
55,2021-03-01,113.967038455136,Greece
56,2021-04-01,118.761444980856,Greece
57,2021-05-01,113.367737639421,Greece
58,2021-06-01,112.568669885134,Greece
59,2021-07-01,115.265523555851,Greece
60,2021-08-01,116.064591310138,Greece
